year,per capita income (US$)
1970,4633.299037
1971,5002.297935
1972,5485.175484
1973,6038.463248
1974,6810.514583
1975,7232.144346
1976,8296.131392
1977,8334.12617
1978,8481.967035
1979,8836.912681
1980,9589.96812
1981,10668.39065
1982,10853.43838
1983,11650.53659
1984,12024.32872
1985,12252.95585
1986,12716.89153
1987,14208.80662
1988,16314.28345
1989,17660.72548
1990,18072.6732
1991,18500.09769
1992,17646.08309
1993,17109.58673
1994,16989.82027
1995,17603.31725
1996,17933.82668
1997,18544.75775
1998,17856.67187
1999,18815.02414
2000,20221.38241
2001,19835.39724
2002,20466.17556
2003,23973.42628
2004,26953.14715
2005,30432.05569
2006,33972.2629
2007,37378.48122
2008,38680.48609
2009,33989.17682
2010,39654.52289
2011,43568.71121
2012,43899.25597
2013,43910.46837
2014,42273.8936
2015,36409.18898
2016,35463.19363
